Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tax status,Tax class,Meta: _atelier_no_delivery,Meta: _atelier_lead_time,Meta: _atelier_delivery_stock,Meta: _atelier_portions,Meta: _atelier_cross_portion,Meta: _atelier_allergens
simple,WS-1,Tarte aux fraises,1,0,visible,,,24,Tartes,taxable,reduit-6,0,0,,1,1,"[""gluten"",""milk"",""egg""]"
simple,WS-2,Tarte aux fruits frais,1,0,visible,,,28,Tartes,taxable,reduit-6,0,0,,1,1,"[""gluten"",""milk"",""egg""]"
simple,WS-3,"Chou farci, crème & champignons",1,0,visible,,,14.5,Plats,taxable,reduit-6,1,0,,0,0,"[""milk"",""egg""]"
simple,WS-4,"Bowl chèvre, figues & légumes rôtis",1,0,visible,,,13.5,Salades,taxable,reduit-6,0,0,3,0,0,"[""milk""]"
simple,WS-5,"Salade fêta, fruits rouges & olives",1,0,visible,,,12.5,Salades,taxable,reduit-6,0,0,,0,0,"[""milk"",""almond""]"
simple,WS-6,"Salade de bœuf, bleu & pignons",1,0,visible,,,15.5,Salades,taxable,reduit-6,0,0,,0,0,"[""milk""]"
simple,WS-36,Salade chef saumon fumé & pommes grenailles,1,0,visible,"Saumon fumé, poulet effiloché, pommes grenailles rôties, olives noires, oignon rouge, roquette et cresson.","Saumon fumé, poulet effiloché, pommes grenailles rôties, olives noires, oignon rouge, roquette et cresson.",14.5,Salades,taxable,reduit-6,0,0,,0,0,"[""fish"",""egg""]"
simple,WS-7,"Yaourt, granola & fruits rouges",1,0,visible,,,5.8,Sucré,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk""]"
simple,WS-8,Pain de campagne au levain,1,0,visible,,,4.8,Pains,taxable,reduit-6,0,1,,0,0,"[""gluten""]"
simple,WS-9,Baguette tradition,1,0,visible,,,2.4,Pains,taxable,reduit-6,0,0,,0,0,"[""gluten""]"
simple,WS-10,Pain aux céréales,1,0,visible,,,5.2,Pains,taxable,reduit-6,0,1,,0,0,"[""gluten"",""sesame""]"
simple,WS-11,Croissant au beurre AOP,1,0,visible,,,1.9,Viennoiseries,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-12,Pain au chocolat,1,0,visible,,,2.2,Viennoiseries,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-13,Brioche feuilletée,1,0,visible,,,3.4,Viennoiseries,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-14,Cookies trio,1,0,visible,,,6.8,Sucré,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-15,Madeleines (×6),1,0,visible,,,7.2,Sucré,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-16,Cannelés (×6),1,0,visible,,,9,Sucré,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-17,Macarons (×8),1,0,visible,,,14.5,Sucré,taxable,reduit-6,0,2,,0,0,"[""gluten"",""milk"",""egg"",""almond""]"
simple,WS-20,Sandwich Club,1,0,visible,,,9.5,Sandwiches,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-30,Sandwich mousse de jambon & cornichons,1,0,visible,"Mousse de jambon maison fouettée, cornichons croquants, salade fraîche, sur pain de campagne.","Mousse de jambon maison fouettée, cornichons croquants, salade fraîche, sur pain de campagne.",7.5,Sandwiches,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-31,Sandwich jambon de Parme & burrata,1,0,visible,"Jambon de Parme 18 mois, burrata crémeuse, pignons torréfiés, jeunes pousses, confit de figues.","Jambon de Parme 18 mois, burrata crémeuse, pignons torréfiés, jeunes pousses, confit de figues.",11.5,Sandwiches,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""nuts""]"
simple,WS-32,Sandwich œufs brouillés & bacon,1,0,visible,"Œufs brouillés moelleux, bacon croustillant, ciboulette fraîche, sur pain brioché.","Œufs brouillés moelleux, bacon croustillant, ciboulette fraîche, sur pain brioché.",8.2,Sandwiches,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg""]"
simple,WS-33,Sandwich féta & roquette,1,0,visible,"Féta marinée aux herbes, roquette, tomates confites, huile d’olive vierge extra.","Féta marinée aux herbes, roquette, tomates confites, huile d’olive vierge extra.",8.9,Sandwiches,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk""]"
simple,WS-34,Sandwich crabe & roquette,1,0,visible,"Chair de crabe, mayonnaise citronnée, roquette, tomates fraîches, cornichons.","Chair de crabe, mayonnaise citronnée, roquette, tomates fraîches, cornichons.",12.5,Sandwiches,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg"",""crustacean"",""fish""]"
simple,WS-35,Sandwich rillettes de thon,1,0,visible,"Rillettes de thon préparées maison, salade verte croquante, citron.","Rillettes de thon préparées maison, salade verte croquante, citron.",7.8,Sandwiches,taxable,reduit-6,0,0,,0,0,"[""gluten"",""milk"",""egg"",""fish""]"
simple,WS-21,Quiche du jour,1,0,visible,,,7.8,Plats,taxable,reduit-6,0,0,,1,1,"[""gluten"",""milk"",""egg""]"
